product,product_link,price,weight,maker,description,img_src
Nong Shim Gourmet Spicy Shin Ramen Multipack,https://www.japancentre.com/en/products/4759-nong-shim-gourmet-spicy-shin-ramen-multipack,£6.89,"600g , 5 packs",Nong Shim,A classic and beloved Korean ramen.,https://cdn.media.amplience.net/i/japancentre/2214-1-Nong-Shim-Gourmet-Spicy-Shin-Ramen?w=250&h=250&sm=c&fmt=auto
Higashimaru Vegan Samurai Meat Free Ramen,https://www.japancentre.com/en/products/13827-higashimaru-vegan-samurai-meat-free-ramen,£3.57,"220g , 2 servings",Higashimaru,No meat. No MSG. No preservatives. Just a great umami flavour oframen noodles.,https://cdn.media.amplience.net/i/japancentre/17125-1-Yamadai-New-Touch-T's-Vegan-Soy-Sauce-Ramen?w=250&h=250&sm=c&fmt=auto
Itsuki Osaka Style Soy Sauce Tonkotsu Ramen,https://www.japancentre.com/en/products/18949-itsuki-osaka-style-soy-sauce-tonkotsu-ramen,£3.03,176g,Itsuki,AuthenticJapanese ramenfor your kitchen!,https://cdn.media.amplience.net/i/japancentre/14341-1-Hikari-Miso-Menraku-Vegetarian-Soy-Sauce-Tonkotsu-Ramen-Noodles?w=250&h=250&sm=c&fmt=auto
Nissin Cup Noodles XO Sauce Seafood Flavour Ramen (Hong Kong),https://www.japancentre.com/en/products/17935-nissin-cup-noodles-xo-sauce-seafood-flavour-ramen-hong-kong,£1.54,75g,Nissin Foods,Slurp up an umami splash of tangy XO sauce seafood flavour.,https://cdn.media.amplience.net/i/japancentre/16251-1-nissin-cup-noodles-seafood-flavour-ramen-(hong-kong)?w=250&h=250&sm=c&fmt=auto
Nissin Cup Noodle Curry Flavour,https://www.japancentre.com/en/products/18954-nissin-cup-noodle-curry-flavour,£3.30,87g,Nissin Foods,"Cup noodles with firm noodles and a mild, thick curry soup with a sweet vegetable flavour.",https://cdn.media.amplience.net/i/japancentre/5387-1-nissin-cup-noodles-seafood-noodle?w=250&h=250&sm=c&fmt=auto
Yamadai New Touch T's Vegan Tan-Tan Ramen Noodles,https://www.japancentre.com/en/products/17094-yamadai-new-touch-t-s-vegan-tan-tan-ramen-noodles,£2.76,72g,Yamadai,"Authentic instant noodles meat, fish and dairy free.",https://cdn.media.amplience.net/i/japancentre/17125-1-Yamadai-New-Touch-T's-Vegan-Soy-Sauce-Ramen?w=250&h=250&sm=c&fmt=auto
Yamadai Vegan Mushroom Cream Soup de Pasta Ramen Noodles,https://www.japancentre.com/en/products/19662-yamadai-vegan-mushroom-cream-soup-de-pasta-ramen-noodles,£1.99,59g,Yamadai,"Savour the creamy richness of this mushroom cream soup pasta ramen, featuring a velvety texture without any dairy ingredients. Perfect for a quick and satisfying meal anytime, the ramen boasts a non-fried cooking method that ensures a perfect blend of flavours.",https://cdn.media.amplience.net/i/japancentre/19663-1-yamadai-vegan-tomato-soup-de-pasta-ramen-noodles?w=250&h=250&sm=c&fmt=auto
Higashi Foods Kagoshima Style Spicy Tonkotsu Pork Stock Flavour Ramen,https://www.japancentre.com/en/products/18097-higashi-foods-kagoshima-style-spicy-tonkotsu-pork-stock-flavour-ramen,£7.79,"390g , 5 packs",Higashi Foods,Succulent regional ramen in minutes.,https://cdn.media.amplience.net/i/japancentre/17006-1-Hikari-Menraku-Japanese-Spicy-Miso-Tonkotsu-Pork-Stock-Flavour-Ramen?w=250&h=250&sm=c&fmt=auto
Samyang Foods Extra Spicy Hot Chicken Flavoured Ramen Big Bowl,https://www.japancentre.com/en/products/16422-samyang-foods-extra-spicy-hot-chicken-flavoured-ramen-big-bowl,£2.20,105g,Samyang Foods,An instant stir fry inferno of spice and flavour.,"https://cdn.media.amplience.net/i/japancentre/15460-1-Samyang-Foods-Hot-Chicken-Flavoured-Ramen-Noodles,-Big-Bowl (2)?w=250&h=250&sm=c&fmt=auto"
Nong Shim Neoguri Seafood & Spicy Ramen,https://www.japancentre.com/en/products/2773-nong-shim-neoguri-seafood-spicy-ramen,£1.18,120g,Nong Shim,"Nong Shim instant ramen noodles are a Korean variety of noodle flavoured with spicy chilli. This packet of instant ramen noodles contains enough dried ramen for one serving, a selection of seafood and a sachet of hot and spicy Korean chilli sauce to make the soup. Easily enjoy the tastyramen noodlesin a few minutes!",https://cdn.media.amplience.net/i/japancentre/2214-1-Nong-Shim-Gourmet-Spicy-Shin-Ramen?w=250&h=250&sm=c&fmt=auto
